via,group-title,tvg_id,tvg_logo,name,url
luongz.jp,BS,tsuri_vision,https://www.lyngsat.com/logo/tv/tt/tsuri_vision.png,Fishing Vision,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs25
luongz.jp,BS,bs_shochiku_tokyu,https://upload.wikimedia.org/wikipedia/commons/e/e2/BS_Shochiku_Tokyu_logo.jpg,,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs31
luongz.jp,CS,at-x,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/AT-X_logo.svg/2560px-AT-X_logo.svg.png,AT-X,https://vnpt.nekocdn.xyz/9113e313-5c50-41dd-a4a0-fda78b64580f.m3u8
luongz.jp,CS,at-x,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/AT-X_logo.svg/2560px-AT-X_logo.svg.png,AT-X (neetball),https://neetball.net/live/neet3.m3u8
luongz.jp,CS,mtv,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/MTV_2021_%28brand_version%29.svg/240px-MTV_2021_%28brand_version%29.svg.png,MTV,https://vnpt.nekocdn.xyz/4b5031a9-04eb-4320-a708-bad2ac658205.m3u8
luongz.jp,CS,space_shower,https://www.lyngsat.com/logo/tv/ss/space_shower_tv.png,Space Shower TV (vthanh),https://vnpt.nekocdn.xyz/bb127794-ed6f-44cb-9a77-3f1e63c0dbd9,m3u8
luongz.jp,CS,jidaigeki,https://www.lyngsat.com/logo/tv/jj/jidaigeki.png,Jidaigeki Senmon,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs04
luongz.jp,CS,toei_channel,https://www.lyngsat-logo.com/logo/tv/tt/toei_channel.png,Toei Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs27
luongz.jp,CS,eigeki,https://www.lyngsat-logo.com/logo/tv/ee/eisei_gekijo.png,Eisei Gekijo ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs22
luongz.jp,CS,family_geki,https://www.lyngsat-logo.com/logo/tv/ff/family_gekijyo_jp.png,Family Gekijyo,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs20
luongz.jp,CS,movie_plus,https://www.lyngsat-logo.com/logo/tv/mm/movie_plus_jp.png,Movie Plus,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs14
